Env,SoilDepth,SoilpH,WDRFpH,SSalts,PSMC,Organic,NitrateN,NitrogenPerAcre ,K,SulfateS,Ca,Mg,Na,CEC,PercentH ,PercentK,PercentCa,PercentMg,PercentNa,P,PercentSand,PercentSilt,PercentClay 
GAH2_2017,0.508924482,-0.032913711,0.731634409,-0.372221645,0.095782629,-0.273921209,-0.303996669,-0.271439254,1.248498083,-0.179729254,-0.842484223,-1.043901972,-0.009478901,-1.100384437,-0.632762968,4.079762268,0.218661139,-0.464558982,0.845818414,1.154364668,0.238451639,-0.79864186,0.688106815
GAH2_2018,0.508924482,0.352849134,0.125952253,-0.572045124,0.095782629,-0.798041954,-0.59604832,-0.582258445,-0.567459618,-0.165011367,-0.776303674,-0.840539509,-0.105814589,-0.894585737,-0.274874028,0.276249049,0.218661139,0.069473174,0.845818414,-0.866537665,0.263052896,-0.341796083,-0.072476367
GAH2_2019,0.508924482,-1.447377476,-0.883518008,-0.132433469,0.095782629,-1.496869615,-0.011945018,0.060101215,-0.812634686,-0.66051356,-1.153960838,-1.315051923,-0.587493028,-1.26986572,1.932107768,0.276249049,-1.552024729,-1.132099177,0.845818414,-0.129181409,1.320906972,-1.124960272,-1.03588173
GAH2_2020,0.508924482,-0.675851786,-1.287306112,0.826719232,0.095782629,-0.186567752,1.78111628,2.028622754,-0.496815955,1.409802534,-1.026867843,-0.998710314,-0.442989496,-0.943008961,1.872459611,0.276249049,-1.741741072,-0.598067021,0.845818414,-0.72999021,0.582869245,-0.863905543,0.07964027
GAH2_2021,0.508924482,-0.933027016,-1.287306112,0.107354706,0.095782629,-0.361274667,0.171436251,0.24659273,0.226242718,0.3599266,-0.928090904,-1.058965858,0.713038757,-0.882479931,1.395274358,1.121474209,-1.299069605,-0.865083099,2.626316813,0.38969892,0.386059184,-0.602850813,0.07964027
IAH2_2016,0.508924482,-1.190202246,-0.883518008,0.507001665,0.095782629,0.075492621,0.218979543,0.308756568,-0.081264994,-0.395591596,-0.05029317,0.121038555,-0.539325184,0.098090346,0.261959382,-0.146363531,-0.224010328,0.069473174,-0.934679985,-0.019943445,1.320906972,0.506631788,-0.427415185
IAH3_2016,0.508924482,0.095673904,0.731634409,0.347142881,0.095782629,-0.186567752,-0.867724274,-0.893077635,0.874502218,0.23237158,0.669461461,0.859168976,-0.49115734,0.654957418,-0.632762968,-0.146363531,0.598093825,0.336489252,-0.934679985,0.744722303,-1.237623816,-1.777597096,2.51350645
IAH4_2016,0.508924482,-0.161501326,0.731634409,1.306295582,0.095782629,-0.186567752,1.176637281,1.365541815,0.334285968,-0.268036576,0.615463401,-0.451389118,-0.539325184,0.328100659,-0.632762968,-0.146363531,1.167242854,-0.998591138,-0.934679985,-0.320347846,0.878084336,0.506631788,0.789517906
IAH4_2017,0.508924482,-0.933027016,-2.498670425,0.187284098,0.095782629,1.473147942,0.511031193,0.619575758,-0.521749013,0.850522831,0.919037861,1.275936492,-0.394821653,1.599210278,0.560200165,-0.991588691,-0.35048789,-0.064034865,-0.934679985,-0.866537665,-0.056763452,-0.472323448,0.789517906
IAH4_2019,-1.802440873,-0.675851786,-1.287306112,-0.292292253,0.095782629,1.385794484,-0.093447805,-0.561537165,0.068333353,0.23237158,0.537100363,-0.130026213,-0.442989496,0.667063224,0.202311225,-0.568976111,0.28189992,-0.73157506,-0.934679985,-0.019943445,0.238451639,-0.602850813,0.383873542
IAH4_2021,-1.802440873,-1.190202246,-1.287306112,0.347142881,0.095782629,0.075492621,0.307274228,-0.271439254,0.583616545,0.418798148,-0.232701251,-0.160153986,0.761206601,0.049667123,0.679496478,0.276249049,-0.603443014,-0.331050943,0.845818414,0.253151465,0.53366673,-0.602850813,-0.224593003
ILH1_2016,0.508924482,-1.061614631,-1.691094217,0.267213489,0.095782629,0.686966824,0.062765869,0.122265053,-0.405394743,0.006697314,-0.180020217,0.316869075,-0.442989496,0.219148405,0.798792791,-0.568976111,-0.729920576,0.069473174,-0.934679985,-0.839228174,-1.1884213,1.420323341,0.18105136
INH1_2015,0.508924482,-0.933027016,-0.883518008,-0.292292253,0.095782629,-0.011860836,0.083141566,2.038983394,-0.687969397,-0.385779671,0.564099393,-0.516665958,-0.442989496,0.122301958,-0.632762968,-0.568976111,-0.224010328,0.202981213,0.845818414,-0.784609192,-1.237623816,-1.451278684,0.18105136
INH1_2016,0.508924482,-1.061614631,-0.883518008,-1.09158617,0.095782629,-0.099214294,-0.453418444,-0.437209489,-0.380461686,0.10481656,0.055068899,1.757980849,-0.009478901,0.509687747,0.083014912,-0.568976111,-0.603443014,1.404553564,-0.934679985,-1.00308512,-1.040813755,1.094004929,0.383873542
INH1_2018,0.508924482,0.095673904,0.731634409,-0.532080428,0.095782629,-0.011860836,-0.738678196,-0.74802868,-0.189308244,-0.071798083,0.564099393,2.270152977,-0.346653809,0.812332894,-0.632762968,-0.568976111,0.092183577,1.538061603,-0.934679985,-0.42958581,-1.237623816,0.702422835,1.397984451
INH1_2019,-1.802440873,-0.290088941,0.731634409,-1.09158617,0.095782629,0.162846079,-0.161366793,-0.623701004,0.018467237,-0.503522767,-0.182654268,1.235766129,-0.442989496,-0.083496742,-0.632762968,-0.146363531,-0.160771547,1.938585719,-0.934679985,-0.784609192,-0.696396149,1.094004929,-0.326004094
INH1_2020,-1.802440873,-0.290088941,0.731634409,-0.452151036,0.095782629,-0.011860836,0.307274228,-0.271439254,-0.530060032,-0.40540352,-0.299211057,0.994743951,-0.394821653,-0.252978024,-0.632762968,-0.568976111,-0.160771547,1.938585719,-0.934679985,-0.757299701,-0.597991119,0.702422835,0.07964027
INH1_2021,-1.802440873,0.095673904,0.731634409,0.107354706,0.095782629,0.861673739,0.083141566,-0.437209489,-0.031398878,-0.434839294,0.443591527,2.581473291,-0.298485965,0.763909671,-0.632762968,-0.568976111,-0.097532766,1.938585719,-0.934679985,-0.484204792,-0.794801179,0.506631788,0.789517906
KSH1_2015,-1.802440873,-0.418676556,-0.883518008,-1.011656778,0.095782629,-0.710688497,-1.152984026,-0.975962753,-0.197619263,1.012419587,-0.175410626,-1.095621315,-0.49115734,1.780797366,-0.215225872,0.276249049,0.534855044,0.069473174,0.845818414,-0.866537665,0.189249124,-0.080741354,-0.934470639
MIH1_2016,0.508924482,-1.447377476,-1.287306112,-0.452151036,0.095782629,0.075492621,1.095134495,1.261935418,0.10157743,0.595412791,-0.474375496,-0.41624005,0.520367381,-0.289295442,0.798792791,0.276249049,-0.729920576,-0.331050943,0.845818414,-0.320347846,0.63207176,-0.276532401,-0.934470639
MIH1_2017,0.508924482,-0.290088941,0.731634409,0.74678984,0.095782629,-0.186567752,1.787908178,2.038983394,-0.426172292,1.012419587,-0.680160786,-0.664794171,0.207276396,-0.918797349,-0.632762968,0.276249049,0.471616263,0.336489252,0.845818414,-0.566133265,1.001090623,-0.896537384,-0.731648457
MIH1_2018,0.508924482,-0.933027016,-1.287306112,-1.011656778,0.095782629,-0.011860836,-0.283620973,-0.250717975,-0.180997224,-0.160105405,-0.322917522,-0.034621601,-0.057646745,-0.131919966,0.560200165,-0.146363531,-0.603443014,0.069473174,0.845818414,-0.593442756,0.53366673,-0.472323448,-0.427415185
MIH1_2019,0.508924482,0.095673904,0.731634409,-1.171515562,0.095782629,-0.361274667,-1.139400229,-1.183175546,-0.33890659,-0.474086993,-0.154338212,-0.361005801,-0.394821653,-0.386141889,-0.632762968,-0.146363531,0.787810168,-0.064034865,-0.934679985,0.171222992,0.63207176,-0.863905543,-0.021770821
MIH1_2020,0.508924482,-0.675851786,-1.287306112,-0.691939211,0.095782629,-0.972748869,-0.731886297,-0.7273074,-0.214241301,-0.621265862,-0.870141766,-0.81794368,-0.394821653,-0.79773929,1.275978045,0.276249049,-1.172592043,-0.331050943,-0.934679985,-0.456895301,1.074894396,-0.994432908,-0.731648457
MIH1_2021,0.508924482,0.224261519,0.731634409,-0.532080428,0.095782629,-0.448628124,-0.460210343,-0.437209489,-0.521749013,-0.395591596,-0.387451789,-0.340920619,0.038688943,-0.604046395,-0.632762968,-0.146363531,0.534855044,0.336489252,0.845818414,0.417008411,0.779679305,-0.79864186,-0.427415185
MNH1_2015,0.508924482,-0.804439401,0.731634409,0.267213489,0.095782629,1.123734112,-1.139400229,0.619575758,-0.496815955,0.850522831,-0.480302112,1.868449347,-0.539325184,1.756585754,-0.632762968,-0.146363531,-0.35048789,-0.197542904,-0.934679985,-0.648061737,0.53366673,-0.146005036,0.789517906
MNH1_2016,0.508924482,-0.804439401,-1.287306112,0.666860448,0.095782629,1.298441027,-0.161366793,-0.10566902,0.159754564,0.399174298,0.84001631,2.049215981,0.038688943,1.381305771,0.023366755,-0.568976111,-0.224010328,0.737013369,-0.934679985,-0.593442756,0.041641578,-0.211268719,0.18105136
MNH1_2017,0.508924482,0.738611979,0.731634409,0.267213489,0.095782629,3.65698438,-0.725094398,-0.7273074,-0.322284551,-0.778256656,1.860052837,0.728615296,-0.298485965,1.683950919,-0.632762968,-0.991588691,1.167242854,-0.598067021,-0.934679985,-0.620752246,-0.450383573,-0.407059766,1.499395542
MNH1_2018,0.508924482,-0.418676556,-0.883518008,1.306295582,0.095782629,1.647854857,0.252939037,0.350199126,-0.064642955,-0.307284274,0.974352947,1.029893019,-0.202150277,1.163401265,-0.215225872,-0.568976111,0.345138701,-0.064034865,-0.934679985,-0.402276319,-0.105965967,-0.472323448,0.890928996
MNH1_2019,0.508924482,-0.675851786,-1.691094217,-0.292292253,0.095782629,1.997268687,0.096725363,0.184428891,0.774769987,-0.179729254,0.568708983,1.125297631,-0.202150277,1.127083848,0.381255695,-0.146363531,-0.35048789,0.069473174,-0.934679985,0.717412812,-0.056763452,-0.472323448,0.789517906
MNH1_2020,-1.802440873,-0.290088941,0.731634409,-1.171515562,0.095782629,0.424906451,-1.282030105,-1.431830899,0.259486795,-0.42502737,-0.365720863,0.31184778,-0.442989496,-0.422459307,-0.632762968,0.276249049,0.092183577,1.271045525,-0.934679985,0.307770447,0.878084336,-0.929169225,-0.427415185
MOH1_1_2018,0.508924482,-0.032913711,0.731634409,-0.372221645,0.095782629,-0.273921209,0.246147138,0.329477847,-0.579926147,-0.562394314,-0.245212997,-0.401176164,0.086856786,-0.482988337,-0.632762968,-0.568976111,0.787810168,-0.064034865,0.845818414,-0.757299701,-0.499586088,0.506631788,0.18105136
MOH1_1_2020,0.508924482,-0.933027016,-0.479729904,0.906648623,0.095782629,-0.448628124,2.19542211,2.4844909,-0.571615128,-0.606547975,-0.278138643,-0.536751139,0.13502463,-0.434565113,-0.215225872,-0.568976111,0.471616263,-0.331050943,0.845818414,-0.593442756,-1.09001627,2.20348753,-1.238703912
MOH1_2_2018,0.508924482,0.352849134,0.731634409,-0.212362861,0.095782629,-0.011860836,-0.310788568,-0.271439254,-0.596548186,-0.209165028,-0.006831316,0.105974669,0.37586385,-0.156131577,-0.632762968,-0.568976111,0.598093825,0.336489252,0.845818414,-0.648061737,-0.794801179,0.767686517,0.383873542
MOH1_2_2020,0.508924482,-0.933027016,-0.479729904,0.906648623,0.095782629,-0.448628124,2.19542211,2.4844909,-0.571615128,-0.606547975,-0.278138643,-0.536751139,0.13502463,-0.434565113,-0.215225872,-0.568976111,0.471616263,-0.331050943,0.845818414,-0.593442756,-1.09001627,2.20348753,-1.238703912
MOH1_2015,0.508924482,-0.547264171,0.731634409,0.347142881,0.095782629,-0.535981582,1.461897033,-0.934520194,-0.538371051,-0.40540352,0.107749933,-1.410456535,-0.394821653,0.763909671,0.321607538,-0.991588691,1.104004073,1.938585719,0.845818414,-0.675371228,1.074894396,-0.276532401,0.992340087
MOH1_2016,0.508924482,-0.161501326,0.731634409,0.666860448,0.095782629,-0.623335039,0.952504619,1.116886463,-0.156064167,-0.189541179,0.174918252,-0.35096321,0.327696006,-0.071390936,-0.632762968,-0.146363531,0.91428773,-0.464558982,0.845818414,-0.211109882,-0.99161124,1.485587024,-0.326004094
MOH1_2017,0.508924482,-0.547264171,-0.479729904,1.22636619,0.095782629,-0.885395412,-0.079864007,-0.022783902,-0.322284551,-0.719385108,-0.122071079,-0.240494712,0.183192474,-0.240872219,-0.334522185,-0.146363531,0.408377482,-0.064034865,0.845818414,-0.320347846,-1.532838906,1.942432801,0.07964027
MOH1_2019,0.508924482,0.224261519,0.731634409,0.267213489,0.095782629,0.075492621,1.061175001,1.241214139,-0.214241301,-0.739008957,0.234842928,0.331932961,0.37586385,0.122301958,-0.632762968,-0.568976111,0.661332606,0.202981213,0.845818414,-0.484204792,-1.09001627,1.159268612,0.383873542
MOH2_2015,0.508924482,0.352849134,-0.883518008,0.107354706,0.095782629,-0.972748869,-0.385499456,0.060101215,-0.625636753,-0.621265862,-0.453961595,0.331932961,-0.394821653,0.533899359,1.991755924,1.121474209,-0.729920576,-1.532623293,0.845818414,-0.115526663,-0.99161124,1.485587024,-0.731648457
NCH1_2018,0.508924482,-1.575965091,-0.883518008,-1.011656778,0.095782629,-1.409516157,-0.385499456,-0.354324372,-0.23086334,-0.326908123,-1.28698045,-1.249775083,-0.587493028,-1.390923779,2.170700394,2.389311948,-2.500606444,-0.464558982,0.845818414,0.362389429,1.517717032,-1.581806049,-0.731648457
NEH1_2019,-1.802440873,-0.418676556,-0.479729904,-1.171515562,0.095782629,-0.623335039,-0.018736917,-0.520094607,3.459229198,-0.464275068,0.074165774,0.216443168,-0.442989496,0.194936794,-0.274874028,2.389311948,-0.034293985,0.069473174,-0.934679985,-0.511514283,0.238451639,-0.602850813,0.383873542
NEH1_2020,0.508924482,-1.961727936,-2.90245853,1.626013149,0.095782629,0.861673739,1.828659572,2.070065313,2.079600006,0.114628485,-0.189239398,-0.250537303,-0.442989496,0.533899359,1.454922515,0.698861629,-1.235830824,-0.865083099,-0.934679985,-0.921156647,-0.942408725,1.094004929,0.18105136
NEH1_2021,0.508924482,-1.061614631,-0.883518008,0.107354706,0.095782629,0.337552994,0.361609419,0.453805523,0.026778256,0.261807354,-0.480302112,-0.41624005,-0.153982433,-0.470882531,0.261959382,0.276249049,-0.287249109,-0.064034865,0.845818414,0.089294519,-0.794801179,1.289795977,-0.427415185
NEH2_2015,-1.802440873,-1.318789861,0.731634409,0.187284098,0.095782629,-1.147455785,-1.336365295,-0.354324372,1.339919295,1.012419587,-1.190837562,2.581473291,-0.250318121,-0.144025771,1.514570671,0.107204017,0.218661139,-0.998591138,-0.934679985,-0.074562427,-0.302776028,-0.080741354,-0.123181912
NEH2_2019,-1.802440873,-0.032913711,0.731634409,-0.212362861,0.095782629,-0.186567752,1.821867673,0.847509831,4.431618448,-0.513334691,0.219697131,0.085889488,-0.105814589,0.231254211,-0.632762968,2.811924528,0.345138701,-0.197542904,-0.934679985,-0.074562427,0.189249124,-0.407059766,0.18105136
NEH2_2021,0.508924482,-1.318789861,-0.883518008,0.107354706,0.095782629,0.075492621,0.429528407,0.536690641,-0.180997224,-0.611453937,-0.514544785,-0.461431708,-0.250318121,-0.495094142,0.381255695,-0.146363531,-0.35048789,-0.064034865,0.845818414,-0.019943445,-0.794801179,1.289795977,-0.427415185
NEH3_2015,0.508924482,-0.547264171,0.731634409,0.986578015,0.095782629,-0.798041954,-0.867724274,-0.540815886,2.378796698,0.23237158,1.860052837,0.216443168,-0.394821653,-0.766264194,0.560200165,0.276249049,0.598093825,-0.331050943,-0.934679985,-0.42958581,0.53366673,1.159268612,0.485284633
NEH3_2021,0.508924482,-1.318789861,-0.883518008,0.107354706,0.095782629,0.075492621,0.429528407,0.536690641,-0.180997224,-0.611453937,-0.514544785,-0.461431708,-0.250318121,-0.495094142,0.381255695,-0.146363531,-0.35048789,-0.064034865,0.845818414,-0.019943445,-0.794801179,1.289795977,-0.427415185
NYH1_2017,0.508924482,1.510137669,0.731634409,-0.931727387,0.095782629,0.250199536,-1.146192127,-1.203896826,-0.928988955,-0.268036576,0.033337972,-0.386112278,-0.49115734,-0.240872219,-0.632762968,-0.991588691,1.040765292,-0.331050943,-0.934679985,-0.648061737,-0.056763452,-0.015477671,0.07964027
NYH1_2019,0.508924482,1.124374824,0.731634409,-0.372221645,0.095782629,-0.448628124,-0.630007814,-0.623701004,-0.862500801,0.144064258,-0.412475281,-0.556836321,-0.442989496,-0.688787037,-0.632762968,-0.568976111,0.787810168,0.069473174,-0.934679985,-0.238419373,0.435261699,-0.602850813,-0.021770821
NYH2_2015,0.508924482,0.995787209,0.731634409,-0.771868603,0.095782629,-0.361274667,-0.956018959,-0.354324372,-1.078587301,-0.326908123,-0.474375496,-0.998710314,-0.49115734,-1.439347002,0.261959382,-0.568976111,-0.287249109,-0.464558982,-0.934679985,-0.811918683,0.336856669,0.898213882,-1.441526093
NYH2_2016,0.508924482,0.610024364,0.731634409,1.546083757,0.095782629,0.162846079,1.217388674,1.406984374,-0.77107959,0.10481656,-0.15828929,-0.125004918,0.37586385,-0.349824472,-0.632762968,-0.568976111,0.661332606,0.202981213,0.845818414,0.417008411,0.090844093,0.180313376,-0.528826276
NYH2_2017,0.508924482,1.252962439,0.731634409,0.027425314,0.095782629,0.250199536,-0.079864007,-0.022783902,-0.962233032,-0.366155822,0.248013187,-0.255558598,-0.202150277,-0.022967712,-0.632762968,-0.991588691,1.040765292,-0.331050943,-0.934679985,-0.811918683,-0.302776028,0.115049693,0.383873542
NYH2_2018,0.508924482,0.352849134,0.731634409,-0.372221645,0.095782629,0.250199536,0.008430678,0.080822495,-0.912366916,-0.611453937,-0.532983147,-0.205345644,-0.153982433,-0.725104454,-0.632762968,-0.568976111,0.345138701,0.870521408,0.845818414,-0.593442756,0.435261699,-0.472323448,-0.224593003
NYH2_2019,0.508924482,1.252962439,0.731634409,0.74678984,0.095782629,0.599613366,0.626493474,0.764624714,-0.779390609,-0.317096199,0.087994545,-0.22040953,-0.394821653,-0.156131577,-0.632762968,-0.991588691,0.91428773,-0.197542904,-0.934679985,-0.893847156,0.336856669,-0.602850813,0.18105136
NYH2_2020,0.508924482,1.600149,0.731634409,-0.052504078,0.095782629,0.774320281,-0.521337433,-0.499373327,-1.003788128,0.23237158,0.028069869,-0.576921502,-0.250318121,-0.2856637,-0.632762968,-0.991588691,1.167242854,-0.598067021,-0.934679985,-0.921156647,0.140046608,-0.146005036,-0.224593003
NYH2_2021,0.508924482,1.510137669,0.731634409,-0.532080428,0.095782629,0.162846079,-0.983186555,-1.017405311,-0.962233032,-0.091421933,-0.285382285,-0.516665958,-0.009478901,-0.555623172,-0.632762968,-0.991588691,0.851048949,-0.064034865,0.845818414,-0.948466138,0.386059184,-0.276532401,-0.427415185
NYH3_2015,0.508924482,1.252962439,-0.479729904,0.986578015,0.095782629,-0.448628124,1.176637281,0.578133199,-0.995477109,0.399174298,-0.633077112,0.121038555,-0.539325184,-0.313507054,-0.215225872,-0.568976111,0.28189992,-0.73157506,-0.934679985,-0.593442756,-0.745598664,1.094004929,-0.123181912
NYH3_2017,0.508924482,1.381550054,0.731634409,-0.212362861,0.095782629,0.162846079,-0.670759207,-0.665143562,-0.945610993,-0.395591596,0.170308661,-0.376069687,-0.250318121,-0.107708354,-0.632762968,-0.991588691,1.104004073,-0.464558982,-0.934679985,-0.811918683,-0.155168482,0.049786011,0.18105136
NYH3_2018,0.508924482,1.124374824,0.731634409,-0.61200982,0.095782629,0.599613366,-0.371915658,-0.333603093,-0.928988955,-0.699761259,-0.309747264,-0.009515124,-0.105814589,-0.482988337,-0.632762968,-0.991588691,0.471616263,0.737013369,0.845818414,-0.538823774,0.140046608,-0.602850813,0.586695724
NYH3_2019,0.508924482,1.124374824,0.731634409,-0.132433469,0.095782629,0.599613366,-0.494169837,-0.478652048,-0.945610993,-0.268036576,0.116310601,-0.270622484,-0.49115734,-0.144025771,-0.632762968,-0.991588691,0.977526511,-0.331050943,-0.934679985,-0.948466138,0.336856669,-0.472323448,-0.021770821
NYH3_2020,0.508924482,1.381550054,0.731634409,-0.212362861,0.095782629,0.162846079,-0.365123759,-0.333603093,-0.987166089,-0.091421933,-0.143143493,-0.516665958,-0.346653809,-0.430933371,-0.632762968,-0.991588691,0.977526511,-0.331050943,-0.934679985,-0.921156647,0.189249124,-0.211268719,-0.123181912
NYH3_2021,0.508924482,0.995787209,0.731634409,-0.292292253,0.095782629,0.512259909,-0.521337433,-0.499373327,-0.87912284,0.202935806,-0.113510411,-0.35096321,0.086856786,-0.361930278,-0.632762968,-0.991588691,0.851048949,-0.064034865,0.845818414,-0.811918683,0.287654154,-0.276532401,-0.224593003
NYS1_2020,0.508924482,1.510137669,0.731634409,0.027425314,0.095782629,0.774320281,-0.500961736,-0.478652048,-0.912366916,-0.012926536,-0.042391015,-0.426282641,-0.298485965,-0.313507054,-0.632762968,-0.991588691,0.977526511,-0.331050943,-0.934679985,-0.921156647,0.090844093,-0.080741354,-0.123181912
NYS1_2021,0.508924482,1.638725284,0.731634409,-0.61200982,0.095782629,1.123734112,-0.956018959,-0.975962753,-0.895744878,0.330490826,0.107749933,-0.48151689,-0.105814589,-0.192448995,-0.632762968,-0.991588691,1.104004073,-0.598067021,0.845818414,-0.675371228,0.189249124,-0.146005036,-0.224593003
OHH1_2019,-2.95812355,-0.290088941,0.731634409,1.306295582,0.095782629,1.822561772,0.565366384,-0.457930769,-0.048020917,0.556165092,0.549612108,1.868449347,-0.539325184,0.715486447,-0.632762968,-0.568976111,0.218661139,1.271045525,-0.934679985,0.007366046,-0.745598664,-0.080741354,1.600806632
OHH1_2020,-1.802440873,-0.547264171,-0.883518008,-0.292292253,0.095782629,1.211087569,-1.152984026,-1.348945781,0.151443545,-0.091421933,0.59043991,2.300280749,0.713038757,1.114978042,-0.095929558,-0.568976111,-0.35048789,1.137537486,0.845818414,-0.293038355,-0.597991119,0.180313376,0.890928996
SCH1_2019,0.508924482,-0.161501326,0.731634409,0.427072273,0.095782629,-0.099214294,2.161462615,2.443048342,-0.33059557,0.261807354,-0.968918705,-0.732581659,-0.442989496,-1.20933669,-0.632762968,1.121474209,-0.097532766,1.271045525,0.845818414,0.608174848,1.124096911,-1.386015002,-0.224593003
SCH1_2020,0.508924482,-0.547264171,-0.883518008,-0.851797995,0.095782629,1.097528074,-1.031409037,-1.071280638,-0.521749013,0.065568861,-1.132229912,-1.095621315,-0.279218827,-1.148807661,1.753163298,0.698861629,-1.741741072,-0.42450657,0.845818414,0.198532483,1.320906972,-1.190223955,-0.934470639
SCH1_2021,-1.802440873,-0.740145593,-1.287306112,-1.203487319,0.095782629,-0.134155677,-1.13057076,-1.324080246,-0.469389592,-0.247431534,-0.834582068,-1.084574465,-0.308119534,-0.766264194,1.890354058,0.107204017,-1.558348607,-0.97188953,0.667768574,1.648666454,1.222501942,-1.053170222,-0.944611748
SDH1_2015,0.508924482,-0.418676556,0.731634409,-1.011656778,0.095782629,0.075492621,-0.956018959,0.536690641,1.223565025,-0.562394314,0.170308661,-0.41624005,-0.539325184,-0.144025771,-0.274874028,-0.991588691,-0.35048789,-1.132099177,-0.934679985,-0.456895301,0.386059184,-0.929169225,-0.072476367
TXH1_2016,0.508924482,1.381550054,0.731634409,0.826719232,0.095782629,-0.448628124,-1.193735419,-1.39038834,1.431340506,-0.189541179,2.967671583,-0.240494712,-0.057646745,1.780797366,-0.632762968,-0.991588691,0.471616263,-0.998591138,-0.934679985,0.007366046,-0.056763452,1.094004929,-1.847170457
