"Env","Hybrid","Pollen_DAP_days","Silk_DAP_days","ASI","Plant_Height_cm","Ear_Height_cm","EHC","Yield_Mg_ha","Grain_Moisture","Twt_kg_m3"
"DEH1_2020","W10004_0064/PHK76",57,56,-1,233,127,0.545064378,8.6,17.3,718.25
"DEH1_2020","W10004_0065/PHK76",58,60,2,209,112,0.535885167,8.6,17.9,737.56
"DEH1_2020","W10004_0065/PHZ51",61,62,1,237,115,0.485232068,4.77,19.6,697.65
"DEH1_2020","W10004_0068/PHK76",59,58,-1,230,116,0.504347826,10.73,20.4,710.53
"DEH1_2020","W10004_0068/PHZ51",61,61,0,262,120,0.458015267,9.73,20.1,718.25
"DEH1_2020","W10004_0069/PHK76",61,61,0,197,100,0.507614213,9.3,19.5,713.1
"DEH1_2020","W10004_0069/PHZ51",60.5,61.5,1,254,129,0.507874016,7.17,17.6,675.77
"DEH1_2020","W10004_0070/PHK76",62,61.5,-0.5,197.5,100.5,0.508860759,8.78,19.2,766.52
"DEH1_2020","W10004_0070/PHZ51",60,60,0,237,111,0.46835443,6.65,17,714.39
"DEH1_2020","W10004_0071/PHK76",57,57,0,226,103,0.455752212,7.35,17.8,768.45
"DEH1_2020","W10004_0071/PHZ51",60,58,-2,251,136,0.541832669,7.19,22.9,740.13
"DEH1_2020","W10004_0072/PHK76",60,58,-2,263,141,0.536121673,10.72,20,745.28
"DEH1_2020","W10004_0072/PHZ51",63,61,-2,270,146,0.540740741,6.86,19.8,705.38
"DEH1_2020","W10004_0073/PHK76",61,60,-1,215,136,0.63255814,8.65,19.8,704.09
"DEH1_2020","W10004_0073/PHZ51",61.5,61.5,0,260,145,0.557692308,5.42,20.85,642.31
"DEH1_2020","W10004_0076/PHK76",63,64,1,199,102,0.512562814,9.14,23,736.27
"DEH1_2020","W10004_0076/PHZ51",61,62,1,271,148,0.546125461,5.87,19.8,711.81
"DEH1_2020","W10004_0078/PHK76",60,60,0,227,113,0.497797357,10.39,20.7,733.7
"DEH1_2020","W10004_0078/PHZ51",63,63,0,276,144,0.52173913,5.54,17.4,763.3
"DEH1_2020","W10004_0079/PHZ51",59,59,0,247,143,0.578947368,7.5,18.9,731.12
"DEH1_2020","W10004_0080/PHK76",60,60,0,230,129,0.560869565,10.21,19.2,750.43
"DEH1_2020","W10004_0080/PHZ51",63,63,0,255,145,0.568627451,5.47,22,697.65
"DEH1_2020","W10004_0086/PHK76",64,60.0585,2,204,81,0.397058824,8.54,24.1,727.26
"DEH1_2020","W10004_0086/PHZ51",61,63,2,244,108,0.442622951,8.43,21.3,682.21
"DEH1_2020","W10004_0087/PHK76",59,58,-1,224,132,0.589285714,10.86,19.9,759.44
"DEH1_2020","W10004_0087/PHZ51",59,59,0,235,126,0.536170213,6.63,16.4,734.98
"DEH1_2020","W10004_0092/PHZ51",62,61.5,-0.5,267,134,0.501872659,7.7,20,707.95
"DEH1_2020","W10004_0093/PHZ51",61.5,62.5,1,270.5,141.5,0.52310536,4.81,17.3,693.15
"DEH1_2020","W10004_0095/PHK76",62,62,0,255,156,0.611764706,4.91,22.3,724.69
"DEH1_2020","W10004_0095/PHZ51",62,63,1,281,158,0.56227758,4.08,17.3,680.92
"DEH1_2020","W10004_0097/PHK76",61,61,0,217,104,0.479262673,8.97,21.9,719.54
"DEH1_2020","W10004_0097/PHZ51",62,61,-1,247,122,0.493927126,3.14,20.2,679.63
"DEH1_2020","W10004_0098/PHK76",58.5,57.5,-1,219,123,0.561643836,9.69,19.05,756.86
"DEH1_2020","W10004_0098/PHZ51",60,60,0,249,124,0.497991968,5.26,16.8,720.82
"DEH1_2020","W10004_0099/PHK76",60,59,-1,249,134,0.53815261,10.45,18.8,759.44
"DEH1_2020","W10004_0099/PHZ51",61,61,0,274,153,0.558394161,8.6,16.1,713.1
"DEH1_2020","W10004_0101/PHZ51",61,61,0,250,126,0.504,6.59,20,718.25
"DEH1_2020","W10004_0103/PHK76",60,60,0,220,122,0.554545455,9.37,21,727.26
"DEH1_2020","W10004_0103/PHZ51",62,63,1,250,136,0.544,6.26,20.4,733.7
"DEH1_2020","W10004_0106/PHK76",58,57,-1,258,126,0.488372093,9.31,17.2,716.96
"DEH1_2020","W10004_0106/PHZ51",60,60,0,258,135,0.523255814,6.47,18.5,780.03
"DEH1_2020","W10004_0110/PHK76",60,58,-2,256,122,0.4765625,10,20.4,749.14
"DEH1_2020","W10004_0110/PHZ51",61,60,-1,264,143,0.541666667,8.54,17.9,729.83
"DEH1_2020","W10004_0112/PHK76",60,60,0,221,130,0.588235294,7.1,19.9,741.42
"DEH1_2020","W10004_0112/PHZ51",60,61,1,264,120,0.454545455,3.93,19.1,716.96
"DEH1_2020","W10004_0115/PHK76",59.5,60,0.5,235.5,119.5,0.507430998,8.5,17.65,699.59
"DEH1_2020","W10004_0115/PHZ51",61,61,0,265,116,0.437735849,5.76,17.9,680.92
"DEH1_2020","W10004_0116/PHK76",60,60,0,197,105,0.532994924,9.19,21,765.88
"DEH1_2020","W10004_0118/PHK76",60,58,-2,238,125,0.525210084,8.53,21.5,738.84
"DEH1_2020","W10004_0118/PHZ51",62,61.5,-0.5,265.5,142,0.534839925,9.21,22.35,745.28
"DEH1_2020","W10004_0119/PHK76",61,60,-1,208,116,0.557692308,8.66,19.7,750.43
"DEH1_2020","W10004_0119/PHZ51",63,62,-1,247,142,0.574898785,7.46,20,693.79
"DEH1_2020","W10004_0121/PHK76",61,60,-1,251,128,0.509960159,5.26,20.6,733.7
"DEH1_2020","W10004_0121/PHZ51",63,65,2,247,126,0.510121457,8.23,15.2,700.23
"DEH1_2020","W10004_0122/PHK76",61,60,-1,252,109,0.432539683,9.11,21.7,714.39
"DEH1_2020","W10004_0122/PHZ51",62,62,0,273,149,0.545787546,6.46,20.9,698.94
"DEH1_2020","W10004_0127/PHK76",60,60,0,220,104,0.472727273,10.05,19,740.13
"DEH1_2020","W10004_0127/PHZ51",61,60,-1,259,136,0.525096525,6.34,18.5,719.54
"DEH1_2020","W10004_0129/PHZ51",61.5,61.5,0,262.5,140.5,0.535238095,6.88,20.35,714.39
"DEH1_2020","W10004_0132/PHK76",59,59,0,214,106,0.495327103,7.01,18.7,778.75
"DEH1_2020","W10004_0132/PHZ51",62,63,1,250,138,0.552,6.04,20.8,753
"DEH1_2020","W10004_0133/PHK76",62,61,-1,212,92,0.433962264,11.07,21.5,737.56
"DEH1_2020","W10004_0133/PHZ51",61,63,2,265,136,0.513207547,6.21,18.6,750.43
"DEH1_2020","W10004_0134/PHK76",60,60,0,206,103,0.5,8.52,19.3,723.4
"DEH1_2020","W10004_0134/PHZ51",60,59,-1,257,135,0.525291829,8.52,18.7,733.7
"DEH1_2020","W10004_0138/PHK76",58,58,0,245,134,0.546938776,7.1,18.5,741.42
"DEH1_2020","W10004_0138/PHZ51",61,62,1,248,135,0.544354839,4.02,18.4,741.42
"DEH1_2020","W10004_0140/PHZ51",61,61,0,277,136,0.490974729,4.92,18.1,706.66
"DEH1_2020","W10004_0144/PHK76",59,60,1,205,116,0.565853659,8.44,20,764.59
"DEH1_2020","W10004_0144/PHZ51",59.5,61.5,2,251,139,0.553784861,9.8,20.25,745.28
"DEH1_2020","W10004_0146/PHK76",61,60,-1,221,114,0.515837104,8.88,18.8,750.43
"DEH1_2020","W10004_0146/PHZ51",60,60,0,257,121,0.470817121,10.2,19.3,743.99
"DEH1_2020","W10004_0147/PHK76",58,57,-1,210,100,0.476190476,9.62,17.3,738.84
"DEH1_2020","W10004_0147/PHZ51",61,61,0,262,131,0.5,5.66,16.5,729.83
"DEH1_2020","W10004_0148/PHK76",59,57,-2,226,128,0.566371681,8.22,19.8,746.57
"DEH1_2020","W10004_0148/PHZ51",60,60.5,0.5,264.5,132.5,0.50094518,5.73,19.4,716.96
"DEH1_2020","W10004_0149/PHK76",60,60,0,233,114,0.489270386,11.09,20.5,754.29
"DEH1_2020","W10004_0149/PHZ51",61.5,61.5,0,264.5,136.5,0.516068053,7.78,18.1,704.09
"DEH1_2020","W10004_0150/PHK76",60,59,-1,217,123,0.566820276,7.63,20.1,755.58
"DEH1_2020","W10004_0152/PHK76",60,60,0,222,117,0.527027027,8.63,17,731.12
"DEH1_2020","W10004_0152/PHZ51",62,62,0,281.5,137.5,0.488454707,5.75,19.8,692.51
"DEH1_2020","W10004_0153/PHK76",59,59,0,234,129,0.551282051,9.64,18.2,725.97
"DEH1_2020","W10004_0153/PHZ51",61,61,0,278,137,0.492805755,5.09,17.4,692.51
"DEH1_2020","W10004_0154/PHK76",59.5,59,-0.5,217.5,101.5,0.466666667,8.64,17.85,691.86
"DEH1_2020","W10004_0154/PHZ51",62,62,0,244,127,0.520491803,8.12,17.7,687.36
"DEH1_2020","W10004_0160/PHK76",62,62,0,222,107,0.481981982,9.2,21.4,734.98
"DEH1_2020","W10004_0160/PHZ51",62,62,0,252,133,0.527777778,8.71,19.8,725.97
"DEH1_2020","W10004_0161/PHZ51",61,61,0,235,104,0.442553191,4.55,20.2,691.22
"DEH1_2020","W10004_0166/PHK76",60,60,0,251,119,0.474103586,11.58,19.2,678.35
"DEH1_2020","W10004_0166/PHZ51",62,63,1,263,155,0.589353612,5.5,20.7,668.05
"DEH1_2020","W10004_0167/PHZ51",62,62,0,261,132,0.505747126,4.11,17.9,706.66
"DEH1_2020","W10004_0168/PHK76",63,61,-2,195,119,0.61025641,7.54,21.7,762.01
"DEH1_2020","W10004_0168/PHZ51",63,63,0,252,134,0.531746032,4.89,19.7,715.67
"DEH1_2020","W10004_0169/PHZ51",61,61,0,276,139,0.503623188,5.69,18,732.41
"DEH1_2020","W10004_0171/PHK76",60,58,-2,257,132,0.513618677,8.82,19.9,719.54
"DEH1_2020","W10004_0178/PHK76",58,57,-1,239,128,0.535564854,11.3,20.7,740.13
"DEH1_2020","W10004_0178/PHZ51",61.5,62,0.5,253.5,120.5,0.475345168,8.35,20.35,697.01
"DEH1_2020","W10004_0179/PHK76",59,57,-2,227,115,0.50660793,6.88,19.6,754.29
"DEH1_2020","W10004_0179/PHZ51",60,61,1,215,138,0.641860465,7,18.1,727.26
"DEH1_2020","W10004_0185/PHZ51",60,61,1,254,140,0.551181102,3.19,18.7,666.76
"DEH1_2020","W10004_0189/PHZ51",65,63,-2,230,118,0.513043478,7.89,20,678.35
"DEH1_2020","W10004_0190/PHK76",60,60,0,221,122,0.552036199,10.91,20.9,738.84
"DEH1_2020","W10004_0190/PHZ51",63,64,1,269,145,0.539033457,5.78,21,693.79
"DEH1_2020","W10004_0192/PHK76",59,60,1,238,133,0.558823529,9.53,20.7,746.57
"DEH1_2020","W10004_0192/PHZ51",62,63,1,247,134,0.542510121,6.32,18.8,695.08
"DEH1_2020","W10004_0194/PHK76",59,58,-1,203,90,0.443349754,9.8,20,753
"DEH1_2020","W10004_0194/PHZ51",60,60,0,252,106,0.420634921,9.72,18.6,734.98
"DEH1_2020","W10004_0196/PHK76",61,60,-1,227,120,0.528634361,12.26,23.1,709.24
"DEH1_2020","W10004_0196/PHZ51",61,62,1,247,133,0.538461538,7.26,17.3,706.66
"DEH1_2020","W10004_0197/PHZ51",62,61,-1,261,153,0.586206897,6.77,19.4,692.51
"DEH1_2020","W10004_0199/PHK76",60,60,0,218,126,0.577981651,8.79,19.1,728.55
"DEH1_2020","W10004_0199/PHZ51",61,61,0,265,146,0.550943396,9.87,18.4,704.09
"DEH1_2020","W10004_0200/PHK76",61,59,-2,246,126,0.512195122,9.13,19.9,710.53
"DEH1_2020","W10004_0200/PHZ51",61,60,-1,240,127,0.529166667,5.96,24.1,713.90487
"DEH1_2020","W10004_0203/PHK76",60,59,-1,247,140,0.566801619,10.01,19.8,756.86
"DEH1_2020","W10004_0203/PHZ51",61.5,62,0.5,250.5,130.5,0.520958084,6.79,18.7,688
"DEH1_2020","W10004_0204/PHK76",62,62,0,224.5,116,0.516703786,8.35,21.05,743.35
"DEH1_2020","W10004_0204/PHZ51",61.5,62,0.5,244.5,121,0.494887526,6.2,22.35,716.96
"DEH1_2020","W10004_0206/PHZ51",62,62,0,261,143,0.54789272,9.08,17,716.96
"DEH1_2020","W10004_0212/PHK76",60,61,1,224,111,0.495535714,9.71,19.7,749.14
"DEH1_2020","W10004_0212/PHZ51",61,60.5,-0.5,262,134.5,0.513358779,7.97,17.45,719.54
"DEH1_2020","W10004_0213/PHK76",60,60,0,217,116,0.534562212,6.42,19.1,759.44
"DEH1_2020","W10004_0213/PHZ51",60,60,0,250,123,0.492,6.44,16.4,723.4
"DEH1_2020","W10004_0217/PHK76",59,57,-2,196,104,0.530612245,10.22,21,737.56
"DEH1_2020","W10004_0217/PHZ51",60,60,0,235,107,0.455319149,9.09,16.9,719.54
"DEH1_2020","W10004_0220/PHK76",58,57.5,-0.5,220.5,109,0.494331066,8.93,21.25,760.08
"DEH1_2020","W10004_0220/PHZ51",61,61,0,249,126,0.506024096,6.84,19.3,732.41
"DEH1_2020","W10004_0221/PHZ51",62,63,1,257,122,0.474708171,7.79,18.5,713.1
"DEH1_2020","W10004_0223/PHK76",60,58,-2,248,135,0.544354839,8.33,19.9,749.14
"DEH1_2020","W10004_0224/PHK76",62,60,-2,218,106,0.486238532,8.56,18.3,747.85
"DEH1_2020","W10004_0224/PHZ51",61,61,0,261,120,0.459770115,5.4,17.6,763.3
"DEH1_2020","W10004_0225/PHK76",59,59,0,209,113,0.540669856,9.66,20.6,745.28
"DEH1_2020","W10004_0225/PHZ51",62,61,-1,246,141,0.573170732,9.06,20,696.37
"DEH1_2020","W10004_0227/PHK76",58,58,0,223,119,0.533632287,9.37,20.5,754.93
"DEH1_2020","W10004_0227/PHZ51",61,60,-1,277,130,0.469314079,6.41,18.4,696.37
"DEH1_2020","W10004_0231/PHK76",58,57,-1,243,121,0.497942387,8.38424,20.1,713.90487
"DEH1_2020","W10004_0231/PHZ51",59,59,0,258,142,0.550387597,6.2,17,715.67
"DEH1_2020","W10004_0236/PHK76",60,59,-1,225,120,0.533333333,6.11,19.9,686.07
"DEH1_2020","W10004_0236/PHZ51",60,60,0,272,132,0.485294118,7.66,17.1,751.72
"DEH1_2020","W10004_0238/PHK76",62.5,62.5,0,233,114,0.489270386,8.33,21.75,747.85
"DEH1_2020","W10004_0241/PHK76",59,58,-1,226,107,0.473451327,10.45,19.7,728.55
"DEH1_2020","W10004_0241/PHZ51",61,60,-1,264,132,0.5,8.56,15.2,704.09
"DEH1_2020","W10004_0242/PHZ51",60,61,1,243,119,0.489711934,6.79,16.1,713.90487
"DEH1_2020","W10004_0253/PHK76",59,58,-1,246,149,0.605691057,6.37,18.9,696.37
"DEH1_2020","W10004_0253/PHZ51",59,61,2,255,107,0.419607843,5.55,16.2,673.2
"DEH1_2020","W10004_0254/PHK76",59,58,-1,257,152,0.591439689,9.14,19.8,725.97
"DEH1_2020","W10004_0254/PHZ51",60.5,60,-0.5,261,144,0.551724138,7.52,19.3,722.75
"DEH1_2020","W10004_0256/PHK76",59,59,0,215,93,0.43255814,8.24,20.2,755.58
"DEH1_2020","W10004_0256/PHZ51",60,61,1,255,126,0.494117647,7.76,18.1,732.41
"DEH1_2020","W10004_0258/PHK76",59,58,-1,241,120,0.497925311,7.16,17.8,700.23
"DEH1_2020","W10004_0258/PHZ51",60,61,1,251,122,0.486055777,8.07,19.4,732.41
"DEH1_2020","W10004_0261/PHK76",62,61,-1,247,125,0.506072874,10.47,20.5,727.26
"DEH1_2020","W10004_0261/PHZ51",63,63,0,258,142,0.550387597,6.06,20.6,725.97
"DEH1_2020","W10004_0262/PHK76",59,59,0,240,142,0.591666667,7.1,19.2,785.18
"DEH1_2020","W10004_0264/PHK76",60,60,0,234.5,120.5,0.513859275,7.81,19.9,730.48
"DEH1_2020","W10004_0264/PHZ51",61,61,0,252,145,0.575396825,7.15,19.55,729.19
"DEH1_2020","W10004_0268/PHK76",59,59,0,230,133,0.57826087,8.62,21.2,734.98
"DEH1_2020","W10004_0268/PHZ51",61,62,1,272,156.5,0.575367647,6.24,19.6,733.05
"DEH1_2020","W10004_0270/PHK76",60,60,0,211,93,0.440758294,9.16,19.1,776.17
"DEH1_2020","W10004_0270/PHZ51",60,60,0,264,120,0.454545455,9.65,18.1,755.58
"DEH1_2020","W10004_0271/PHK76",60,59,-1,241,134,0.556016598,10.79,19.5,777.46
"DEH1_2020","W10004_0271/PHZ51",63,61,-2,270,140,0.518518519,10.28,19.1,746.57
"DEH1_2020","W10004_0276/PHK76",60,60,0,235,114,0.485106383,12.37,21.3,736.27
"DEH1_2020","W10004_0276/PHZ51",61,61.5,0.5,258.5,119.5,0.462282398,9.86,19.1,737.56
"DEH1_2020","W10004_0290/PHK76",60,59,-1,268,119,0.444029851,10.5,19.8,737.56
"DEH1_2020","W10004_0290/PHZ51",62,62,0,263,115,0.437262357,7.04,20.5,664.19
"DEH1_2020","W10004_0291/PHK76",59,59,0,237,114,0.481012658,6.4,18.5,734.98
"DEH1_2020","W10004_0292/PHK76",59,58,-1,216,102,0.472222222,6.24,19.8,769.74
"DEH1_2020","W10004_0292/PHZ51",61,60,-1,247,128,0.518218623,6.89,20.2,733.7
"DEH1_2020","W10004_0299/PHK76",60,58,-2,243,121,0.497942387,12.42,20.6,745.28
"DEH1_2020","W10004_0299/PHZ51",61,62,1,264,137,0.518939394,8.6,19.7,720.82
"DEH1_2020","W10004_0306/PHK76",61.5,60.5,-1,208.5,106,0.508393285,9.43,19.9,737.56
"DEH1_2020","W10004_0306/PHZ51",61,62,1,260,138,0.530769231,7.77,20.6,723.4
"DEH1_2020","W10004_0308/PHK76",64,63,-1,216,106,0.490740741,9.87,21.4,763.3
"DEH1_2020","W10004_0308/PHZ51",62.5,62,-0.5,275,133.5,0.485454545,7.62,20.8,728.55
"DEH1_2020","W10004_0309/PHK76",59,59,0,242,131,0.541322314,9.64,19.8,718.25
"DEH1_2020","W10004_0309/PHZ51",60,59,-1,246,123,0.5,9.36,17.9,737.56
"DEH1_2020","W10004_0310/PHK76",60,60,0,230.5,121,0.52494577,10.04,19,725.33
"DEH1_2020","W10004_0310/PHZ51",62,63,1,249,127,0.510040161,4.27,19.7,679.63
"DEH1_2020","W10004_0311/PHK76",59,59,0,256,142,0.5546875,6.88,19.5,751.72
"DEH1_2020","W10004_0327/PHK76",62,62,0,237,111,0.46835443,8.35,19.7,722.11
"DEH1_2020","W10004_0327/PHZ51",60,62,2,267,126,0.471910112,8.7,18.8,668.05
"DEH1_2020","W10004_0329/PHK76",58.5,57,-1.5,213,116.5,0.546948357,8.56,20.1,783.25
"DEH1_2020","W10004_0329/PHZ51",61,61,0,238,96,0.403361345,9.25,19.4,715.67
"DEH1_2020","W10004_0336/PHK76",59.5,59,-0.5,232,123.5,0.532327586,9.95,19.8,733.05
"DEH1_2020","W10004_0336/PHZ51",61,61,0,264,142,0.537878788,10.1,18.6,719.54
"DEH1_2020","W10004_0344/PHK76",58.5,57.5,-1,218.5,120.5,0.551487414,8.91,19.65,742.71
"DEH1_2020","W10004_0344/PHZ51",61,61,0,261,130,0.498084291,5.44,20.6,679.63
"DEH1_2020","W10004_0346/PHK76",60,59,-1,263,139,0.52851711,10.56,19.4,686.07
"DEH1_2020","W10004_0346/PHZ51",60,61,1,270,131,0.485185185,10.28,16.1,700.23
"DEH1_2020","W10004_0361/PHK76",65,64,-1,191,94,0.492146597,9.44,22.9,750.43
"DEH1_2020","W10004_0361/PHZ51",61,61,0,247,136,0.550607287,8.92,21.2,723.4
"DEH1_2020","W10004_0362/PHK76",59,58,-1,221,122,0.552036199,8.55,20.7,714.39
"DEH1_2020","W10004_0362/PHZ51",62,63,1,242,127,0.524793388,7.93,18.9,716.96
"DEH1_2020","W10004_0380/PHK76",60,59,-1,247,151,0.611336032,9.81,19.9,768.45
"DEH1_2020","W10004_0381/PHK76",59,57,-2,244,140,0.573770492,10.94,19.8,777.46
"DEH1_2020","W10004_0381/PHZ51",61,61,0,290,139,0.479310345,5.02,21.5,709.24
"DEH1_2020","W10004_0383/PHK76",59.5,59,-0.5,239,117.5,0.491631799,8.72,20.85,746.57
"DEH1_2020","W10004_0383/PHZ51",62,62,0,262,146,0.557251908,4.55,20.2,727.26
"DEH1_2020","W10004_0389/PHK76",59,59,0,205,110,0.536585366,9.64,17.1,727.26
"DEH1_2020","W10004_0389/PHZ51",63,63,0,224,102,0.455357143,3.17,19.2,688.64
"DEH1_2020","W10004_0393/PHK76",59,59,0,217,111,0.511520737,9.67,19.5,750.43
"DEH1_2020","W10004_0393/PHZ51",61,62,1,239,114,0.476987448,9.55,19.5,723.4
"DEH1_2020","W10004_0394/PHK76",65,64,-1,197,89,0.45177665,8.43,19.5,713.1
"DEH1_2020","W10004_0394/PHZ51",61,61,0,239,119,0.49790795,6.89,17.9,706.66
"DEH1_2020","W10004_0395/PHK76",59,58,-1,235,128,0.544680851,10.35,20,776.17
"DEH1_2020","W10004_0395/PHZ51",62,62,0,243,136,0.559670782,9.1,18,742.71
"DEH1_2020","W10004_0396/PHK76",59,57,-2,248,119,0.47983871,7.51,18.8,720.82
"DEH1_2020","W10004_0396/PHZ51",60.5,60.5,0,262.5,132.5,0.504761905,5.68,19.45,709.88
"DEH1_2020","W10004_0403/PHK76",59,59,0,216,134,0.62037037,6.11,19.9,725.97
"DEH1_2020","W10004_0403/PHZ51",60,61,1,226,115,0.508849558,6.42,19.1,710.53
"DEH1_2020","W10004_0409/PHK76",59.9469,60.0585,0,213,105,0.492957746,9.54,22.1,696.37
"DEH1_2020","W10004_0410/PHK76",60,60.5,0.5,217,110,0.506912442,8.95,17.3,732.41
"DEH1_2020","W10004_0410/PHZ51",60,60,0,263,146,0.55513308,4.27,16.1,701.52
"DEH1_2020","W10004_0412/PHK76",59,59,0,243,140,0.576131687,9.81,19.9,777.46
"DEH1_2020","W10004_0412/PHZ51",61,61,0,250,136,0.544,9.53,18.1,759.44
"DEH1_2020","W10004_0417/PHK76",57,57,0,209,116,0.555023923,10.68,20.3,756.86
"DEH1_2020","W10004_0417/PHZ51",61,63,2,248,148,0.596774194,5.79,20.1,734.98
